Columna;Especie;Origen;Altitud;Variety;método;color
132;Arabica;Taiwan;1200;Typica;Washed / Wet;Green
133;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
134;Arabica;Taiwan;950;Typica;Washed / Wet;Green
135;Arabica;Colombia;1550;Caturra;Natural / Dry;Green
136;Arabica;Mexico;900;Typica;Washed / Wet;Blue-Green
137;Arabica;Mexico;1400;Typica;Washed / Wet;Green
138;Arabica;Colombia;2527;Caturra;Washed / Wet;Green
139;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Blue-Green
140;Arabica;Guatemala;1500;Bourbon;Washed / Wet;Green
141;Arabica;Brazil;1000;Yellow Bourbon;Natural / Dry;Green
142;Arabica;Brazil;1200;Bourbon;Semi-washed / Semi-pulped;Green
143;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Green
144;Arabica;Brazil;1260;Yellow Bourbon;Natural / Dry;Green
145;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
146;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
147;Arabica;Mexico;1218;Bourbon;Natural / Dry;Green
148;Arabica;Brazil;1250;Yellow Bourbon;Semi-washed / Semi-pulped;Green
149;Arabica;Kenya;1800;SL28;Washed / Wet;Green
150;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
151;Arabica;Colombia;442;Caturra;Washed / Wet;Green
152;Arabica;Taiwan;750;Typica;Natural / Dry;Green
153;Arabica;China;1650;Catimor;Washed / Wet;Green
154;Arabica;Uganda;1400;Bourbon;Natural / Dry;Green
155;Arabica;Colombia;1950;Caturra;Washed / Wet;Green
156;Arabica;Colombia;1750;Caturra;Washed / Wet;Blue-Green
157;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
158;Arabica;Guatemala;1300;Caturra;Washed / Wet;Bluish-Green
159;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
160;Arabica;Kenya;1700;SL28;Washed / Wet;Bluish-Green
161;Arabica;Honduras;1400;Caturra;Washed / Wet;Green
162;Arabica;Nicaragua;1250;Caturra;Washed / Wet;Green
163;Arabica;Brazil;934;Bourbon;Natural / Dry;Green
164;Arabica;Taiwan;1200;Caturra;Natural / Dry;Bluish-Green
165;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
166;Arabica;Colombia;2000;Caturra;Washed / Wet;Green
167;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
168;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
169;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
170;Arabica;Guatemala;1450;Caturra;Natural / Dry;Green
171;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
172;Arabica;Mexico;1100;Typica;Washed / Wet;Green
173;Arabica;Indonesia;1200;Typica;Washed / Wet;Green
174;Arabica;Guatemala;5000;Caturra;Washed / Wet;Green
175;Arabica;Brazil;890;Bourbon;Natural / Dry;Green
176;Arabica;Guatemala;3702;Caturra;Washed / Wet;Green
177;Arabica;China;1100;Catimor;Washed / Wet;Green
178;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
179;Arabica;Mexico;1200;Caturra;Washed / Wet;Green
180;Arabica;Uganda;1800;SL14;Washed / Wet;Green
181;Arabica;Colombia;1600;Caturra;Natural / Dry;Green
182;Arabica;Colombia;1550;Caturra;Washed / Wet;Green
183;Arabica;Taiwan;1000;Typica;Other;Green
184;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
185;Arabica;Colombia;2136;Caturra;Natural / Dry;Green
186;Arabica;Brazil;1100;Catuai;Semi-washed / Semi-pulped;Blue-Green
187;Arabica;Colombia;1799;Caturra;Washed / Wet;Bluish-Green
188;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Blue-Green
189;Arabica;Colombia;1000;Caturra;Natural / Dry;Green
190;Arabica;Guatemala;4000;Bourbon;Washed / Wet;Bluish-Green
191;Arabica;Colombia;1600;Caturra;Washed / Wet;Green
192;Arabica;Tanzania, United Republic Of;1400;Ruiru 11;Washed / Wet;Green
193;Arabica;Indonesia;1500;Sumatra;Semi-washed / Semi-pulped;Bluish-Green
194;Arabica;Colombia;1850;Caturra;Washed / Wet;Green
195;Arabica;Guatemala;1400;Caturra;Washed / Wet;Green
196;Arabica;Honduras;1350;Caturra;Natural / Dry;Green
197;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
198;Arabica;Colombia;1750;Caturra;Washed / Wet;Green
199;Arabica;Mexico;1170;Bourbon;Natural / Dry;Green
200;Arabica;Mexico;940;Typica;Semi-washed / Semi-pulped;Green
201;Arabica;Mexico;1400;Pacamara;Washed / Wet;Green
202;Arabica;Guatemala;5000;Caturra;Washed / Wet;Green
203;Arabica;Guatemala;1400;Bourbon;Washed / Wet;Green
204;Arabica;Colombia;439;Caturra;Washed / Wet;Green
205;Arabica;Guatemala;1700;Bourbon;Washed / Wet;Green
206;Arabica;Colombia;442;Caturra;Washed / Wet;Green
207;Arabica;Costa Rica;1850;Caturra;Washed / Wet;Blue-Green
208;Arabica;Uganda;1800;SL14;Washed / Wet;Green
209;Arabica;Thailand;1200;Catimor;Washed / Wet;Bluish-Green
210;Arabica;Colombia;442;Caturra;Natural / Dry;Green
211;Arabica;Tanzania, United Republic Of;1600;Bourbon;Washed / Wet;Green
212;Arabica;Colombia;1813;Caturra;Washed / Wet;Green
213;Arabica;Guatemala;4000;Bourbon;Natural / Dry;Green
214;Arabica;Guatemala;1500;Caturra;Washed / Wet;Green
215;Arabica;Guatemala;4300;Bourbon;Washed / Wet;Green
216;Arabica;Colombia;1450;Caturra;Washed / Wet;Green
217;Arabica;Brazil;1227;Catuai;Semi-washed / Semi-pulped;Green
218;Arabica;Mexico;1200;Caturra;Washed / Wet;Green
219;Arabica;Colombia;1650;Caturra;Washed / Wet;Green
